STT,GIÁ - TRIỆU ĐỒNG,HÃNG,DÒNG,NĂM_SX,DUNG TÍCH - CC,KIỂU XE,TÌNH TRẠNG
1,38,Honda,Sonic,2018,125,Tay côn/Moto,Cũ
2,24.5,SYM,Husky,2018,125,Tay côn/Moto,Cũ
3,25,Honda,Air Blade,2016,125,Tay ga,Cũ
4,68.3,Honda,SH,2015,150,Tay ga,Cũ
5,8.8,Yamaha,Sirius,2010,110,Xe số,Cũ
6,40,Honda,Air Blade,2018,125,Tay ga,Mới
7,12.9,Honda,Vision,2013,110,Tay ga,Cũ
8,37,Yamaha,Exciter,2019,150,Tay côn/Moto,Cũ
9,46.8,Honda,Vario,2020,125,Tay ga,Cũ
10,8,Yamaha,Sirius,2015,110,Xe số,Cũ
11,44.6,Honda,Vario,2019,125,Tay ga,Cũ
12,22,SYM,Husky,2018,125,Tay côn/Moto,Cũ
13,36.5,Suzuki,EN,2013,125,Tay côn/Moto,Cũ
14,12.9,Honda,Future,2008,110,Xe số,Cũ
15,18.3,Yamaha,Acruzo,2017,125,Tay ga,Cũ
16,16.8,Honda,Vision,2012,110,Tay ga,Mới
17,10.5,Honda,Wave,2008,110,Xe số,Cũ
18,36,Honda,SH,2013,125,Tay ga,Cũ
19,11.3,Honda,Lead,2009,110,Tay ga,Cũ
20,17.5,Honda,Nova Tena,1998,110,Xe số,Cũ
21,11,SYM,Attila,2011,110,Tay ga,Cũ
22,13,Honda,Wave,2004,110,Xe số,Cũ
23,20.8,Honda,Air Blade,2010,110,Tay ga,Cũ
24,31.5,Honda,Vision,2019,110,Tay ga,Mới
25,28.9,Honda,Winner,2019,150,Tay côn/Moto,Cũ
26,5.4,Honda,Wave,2008,110,Xe số,Cũ
27,15.8,Honda,Air Blade,2011,110,Tay ga,Cũ
28,41,Honda,SH,2010,125,Tay ga,Cũ
29,40.9,Honda,Vario,2018,125,Tay ga,Cũ
30,35.9,Honda,Sonic,2019,125,Tay côn/Moto,Cũ
31,11.3,Honda,Lead,2009,110,Tay ga,Cũ
32,12.8,Honda,Lead,2014,110,Tay ga,Cũ
33,31.5,Yamaha,Nvx,2019,125,Tay ga,Cũ
34,6.7,Yamaha,Nouvo,2009,110,Tay ga,Cũ
35,38.9,Suzuki,Satria,2019,120,Tay côn/Moto,Cũ
36,4.2,Suzuki,Hayate,2011,125,Tay ga,Cũ
37,15,Honda,Air Blade,2009,110,Tay ga,Cũ
38,17.5,Honda,Wave,2019,110,Xe số,Cũ
39,7,Honda,Wave,2011,110,Xe số,Cũ
40,40,Honda,SH,2011,125,Tay ga,Mới
41,37.5,Yamaha,Exciter,2019,150,Tay côn/Moto,Cũ
42,48.8,Honda,Vario,2019,125,Tay ga,Cũ
43,22,Piaggio,GTS,2013,125,Tay ga,Cũ
44,36,Suzuki,Satria,2020,120,Tay côn/Moto,Cũ
